Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Industry,Business Description,Company Website,Entrepreneur Names,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Loan,Deal Has Conditions,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Mentoring,Invested Shark Names
3,FrutaImperfeita,5,132,17-Aug-2018,21-Dec-2018,21-Sep-2018,,,,,,,,,,,,,,,,,,
3,Poppin,5,133,17-Aug-2018,21-Dec-2018,21-Sep-2018,,,,,,,,,,,,,,,,,,
3,RéguaDiamante,5,134,17-Aug-2018,21-Dec-2018,21-Sep-2018,,,,,,,,,,,,,,,,,,
3,FAVImóveis,5,135,17-Aug-2018,21-Dec-2018,21-Sep-2018,,,,,,,,,,,,,,,,,,
3,SeemiPro,6,136,17-Aug-2018,21-Dec-2018,28-Sep-2018,,,,,,,,,,,,,,,,,,
3,BombagsSemicases,6,137,17-Aug-2018,21-Dec-2018,28-Sep-2018,,,,,,,,,,,,,,,,,,
3,PingentedeAmor,6,138,17-Aug-2018,21-Dec-2018,28-Sep-2018,,,,,,,,,,,,,,,,,,
3,Gulover,6,139,17-Aug-2018,21-Dec-2018,28-Sep-2018,,,,,,,,,,,,,,,,,,
3,Tapiocaria,7,140,17-Aug-2018,21-Dec-2018,5-Oct-2018,,,,,,,,,,,,,,,,,,
3,EverestVR,7,141,17-Aug-2018,21-Dec-2018,5-Oct-2018,,,,,,,,,,,,,,,,,,
3,EscapeTime,7,142,17-Aug-2018,21-Dec-2018,5-Oct-2018,,,,,,,,,,,,,,,,,,
3,MochilaUrbam,7,143,17-Aug-2018,21-Dec-2018,5-Oct-2018,,,,,,,,,,,,,,,,,,
3,Babuxca,8,144,17-Aug-2018,21-Dec-2018,19-Oct-2018,,,,,,,,,,,,,,,,,,
3,Penka,8,145,17-Aug-2018,21-Dec-2018,19-Oct-2018,,,,,,,,,,,,,,,,,,
3,Oop!,8,146,17-Aug-2018,21-Dec-2018,19-Oct-2018,,,,,,,,,,,,,,,,,,
3,Mescla,8,147,17-Aug-2018,21-Dec-2018,19-Oct-2018,,,,,,,,,,,,,,,,,,
3,WonderSize,9,148,17-Aug-2018,21-Dec-2018,26-Oct-2018,,,,,,,,,,,,,,,,,,
3,Mespper,9,149,17-Aug-2018,21-Dec-2018,26-Oct-2018,,,,,,,,,,,,,,,,,,
3,Muskinha,9,150,17-Aug-2018,21-Dec-2018,26-Oct-2018,,,,,,,,,,,,,,,,,,
3,EasyGarlic,9,151,17-Aug-2018,21-Dec-2018,26-Oct-2018,,,,,,,,,,,,,,,,,,
3,MyselfMobile,10,152,17-Aug-2018,21-Dec-2018,9-Nov-2018,,,,,,,,,,,,,,,,,,
3,MulekdeRua,10,153,17-Aug-2018,21-Dec-2018,9-Nov-2018,,,,,,,,,,,,,,,,,,
3,Egui's,10,154,17-Aug-2018,21-Dec-2018,9-Nov-2018,,,,,,,,,,,,,,,,,,
3,Brindiamo,10,155,17-Aug-2018,21-Dec-2018,9-Nov-2018,,,,,,,,,,,,,,,,,,
3,LEDAX,11,156,17-Aug-2018,21-Dec-2018,16-Nov-2018,,,,,,,,,,,,,,,,,,
3,Yogothin,11,157,17-Aug-2018,21-Dec-2018,16-Nov-2018,,,,,,,,,,,,,,,,,,
3,VendingTudo,11,158,17-Aug-2018,21-Dec-2018,16-Nov-2018,,,,,,,,,,,,,,,,,,
3,ML3,11,159,17-Aug-2018,21-Dec-2018,16-Nov-2018,,,,,,,,,,,,,,,,,,
3,Nutfree,12,160,17-Aug-2018,21-Dec-2018,23-Nov-2018,,,,,,,,,,,,,,,,,,
3,Ecotent,12,161,17-Aug-2018,21-Dec-2018,23-Nov-2018,,,,,,,,,,,,,,,,,,
3,Unidroid,12,162,17-Aug-2018,21-Dec-2018,23-Nov-2018,,,,,,,,,,,,,,,,,,
3,Noeh,12,163,17-Aug-2018,21-Dec-2018,23-Nov-2018,,,,,,,,,,,,,,,,,,
3,ThatGirl,13,164,17-Aug-2018,21-Dec-2018,30-Nov-2018,,,,,,,,,,,,,,,,,,
3,BorrachariadoLeandro,13,165,17-Aug-2018,21-Dec-2018,30-Nov-2018,,,,,,,,,,,,,,,,,,
3,Retrôgol,13,166,17-Aug-2018,21-Dec-2018,30-Nov-2018,,,,,,,,,,,,,,,,,,
3,VocêRevest,13,167,17-Aug-2018,21-Dec-2018,30-Nov-2018,,,,,,,,,,,,,,,,,,
3,Zunia,14,168,17-Aug-2018,21-Dec-2018,7-Dec-2018,,,,,,,,,,,,,,,,,,
3,H-Gym,14,169,17-Aug-2018,21-Dec-2018,7-Dec-2018,,,,,,,,,,,,,,,,,,
3,TurismoAdaptado,14,170,17-Aug-2018,21-Dec-2018,7-Dec-2018,,,,,,,,,,,,,,,,,,
3,PrintGreen3D,14,171,17-Aug-2018,21-Dec-2018,7-Dec-2018,,,,,,,,,,,,,,,,,,
3,QuickSummer,14,172,17-Aug-2018,21-Dec-2018,7-Dec-2018,,,,,,,,,,,,,,,,,,
3,PremiaPão,15,173,17-Aug-2018,21-Dec-2018,14-Dec-2018,,,,,,,,,,,,,,,,,,
3,BichodePet,15,174,17-Aug-2018,21-Dec-2018,14-Dec-2018,Pet Products,,,,,,,,,,,,,,,,,
3,ColchãoFlow,15,175,17-Aug-2018,21-Dec-2018,14-Dec-2018,,,,,,,,,,,,,,,,,,
3,RioClaro,15,176,17-Aug-2018,21-Dec-2018,14-Dec-2018,,,,,,,,,,,,,,,,,,
3,Uniquebox,16,177,17-Aug-2018,21-Dec-2018,21-Dec-2018,,,,,,,,,,,,,,,,,,
3,Play2sell,16,178,17-Aug-2018,21-Dec-2018,21-Dec-2018,,,,,,,,,,,,,,,,,,
3,AcademiadoRock,16,179,17-Aug-2018,21-Dec-2018,21-Dec-2018,,,,,,,,,,,,,,,,,,
3,Biomassa,16,180,17-Aug-2018,21-Dec-2018,21-Dec-2018,,,,,,,,,,,,,,,,,,
3,MeiMei,,181,17-Aug-2018,21-Dec-2018,,Food and Beverage,Asian food,,,350000,10,3500000,1,350000,20.0,1750000,,,1,350000,20,,Robinson Shiba
4,Criativando,1,182,28-Jun-2019,18-Oct-2019,28-Jun-2019,,,,,,,,,,,,,,,,,,
4,BonecosInfláveis,1,183,28-Jun-2019,18-Oct-2019,28-Jun-2019,,,,,,,,,,,,,,,,,,
4,WiseHome,1,184,28-Jun-2019,18-Oct-2019,28-Jun-2019,,,,,,,,,,,,,,,,,,
4,AcarajéDaMila,1,185,28-Jun-2019,18-Oct-2019,28-Jun-2019,,,,,,,,,,,,,,,,,,
4,PetBamboo,2,186,28-Jun-2019,18-Oct-2019,5-Jul-2019,Pet Products,,,,,,,,,,,,,,,,,
4,VoilàBag,2,187,28-Jun-2019,18-Oct-2019,5-Jul-2019,,,,,,,,,,,,,,,,,,
4,WhoisHappy,2,188,28-Jun-2019,18-Oct-2019,5-Jul-2019,,,,,,,,,,,,,,,,,,
4,BruiserSports,2,189,28-Jun-2019,18-Oct-2019,5-Jul-2019,,,,,,,,,,,,,,,,,,
4,BlinDog,3,190,28-Jun-2019,18-Oct-2019,12-Jul-2019,,,,,,,,,,,,,,,,,,
4,ClubeNerd,3,191,28-Jun-2019,18-Oct-2019,12-Jul-2019,,,,,,,,,,,,,,,,,,
4,PizzaEstupenda,3,192,28-Jun-2019,18-Oct-2019,12-Jul-2019,,,,,,,,,,,,,,,,,,
4,Transludica,3,193,28-Jun-2019,18-Oct-2019,12-Jul-2019,,,,,,,,,,,,,,,,,,
4,CloShoes,4,194,28-Jun-2019,18-Oct-2019,19-Jul-2019,,,,,,,,,,,,,,,,,,
4,DeixaQueEuPago,4,195,28-Jun-2019,18-Oct-2019,19-Jul-2019,Lifestyle/Home,Bill installment payments,,,1000000,10,10000000,1,1000000,15.0,6666667,,,3,333333.33,5,,"Caito Maia, Carol Paiffer, João Appolinário"
